title,artist,date
All I Want For Christmas Is You,Mariah Carey,2020-01-04
All I Want For Christmas Is You,Mariah Carey,2020-01-11
Circles,Post Malone,2020-01-18
The Box,Roddy Ricch,2020-01-25
The Box,Roddy Ricch,2020-02-01
The Box,Roddy Ricch,2020-02-08
The Box,Roddy Ricch,2020-02-15
The Box,Roddy Ricch,2020-02-22
The Box,Roddy Ricch,2020-02-29
The Box,Roddy Ricch,2020-03-07
The Box,Roddy Ricch,2020-03-14
The Box,Roddy Ricch,2020-03-21
The Box,Roddy Ricch,2020-03-28
The Box,Roddy Ricch,2020-04-04
Blinding Lights,The Weeknd,2020-04-11
Blinding Lights,The Weeknd,2020-04-18
Toosie Slide,Drake,2020-04-25
Blinding Lights,The Weeknd,2020-05-02
Blinding Lights,The Weeknd,2020-05-09
The Scotts,"THE SCOTTS - Travis Scott & Kid Cudi",2020-05-16
Say So,Doja Cat Featuring Nicki Minaj,2020-05-23
Stuck With U,Ariana Grande & Justin Bieber,2020-05-30
Savage,Megan Thee Stallion,2020-06-06
Rain On Me,Lady Gaga & Ariana Grande,2020-06-13
Rockstar,DaBaby Featuring Roddy Ricch,2020-06-20
Rockstar,DaBaby Featuring Roddy Ricch,2020-06-27
Trollz,6ix9ine & Nicki Minaj,2020-07-04
Rockstar,DaBaby Featuring Roddy Ricch,2020-07-11
Rockstar,DaBaby Featuring Roddy Ricch,2020-07-18
Rockstar,DaBaby Featuring Roddy Ricch,2020-07-25
Rockstar,DaBaby Featuring Roddy Ricch,2020-08-01
Rockstar,DaBaby Featuring Roddy Ricch,2020-08-08
Cardigan,Taylor Swift,2020-08-15
Watermelon Sugar,Harry Styles,2020-08-22
WAP,Cardi B Featuring Megan Thee Stallion,2020-08-29
WAP,Cardi B Featuring Megan Thee Stallion,2020-09-05
Dynamite,BTS,2020-09-12
Dynamite,BTS,2020-09-19
WAP,Cardi B Featuring Megan Thee Stallion,2020-09-26
WAP,Cardi B Featuring Megan Thee Stallion,2020-10-03
Dynamite,BTS,2020-10-10
Franchise,Travis Scott Featuring Young Thug & M.I.A.,2020-10-17
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-10-24
Mood,24kGoldn Featuring iann dior,2020-10-31
Mood,24kGoldn Featuring iann dior,2020-11-07
Positions,Ariana Grande,2020-11-14
Mood,24kGoldn Featuring iann dior,2020-11-21
Mood,24kGoldn Featuring iann dior,2020-11-28
Mood,24kGoldn Featuring iann dior,2020-12-05
Life Goes On,BTS,2020-12-12
Mood,24kGoldn Featuring iann dior,2020-12-19
All I Want For Christmas Is You,Mariah Carey,2020-12-26
